channel,mae_analysis_std,mae_bg_std,rmse_analysis_std,rmse_bg_std,bias_analysis_std,bias_bg_std,std_era5,mae_climatology_std,mean_abs_analysis_minus_bg,mae_analysis_phys,mae_bg_phys,improve_pct
z50,0.01088782778007498,0.01077605542682466,0.014075856853089127,0.013914039835513786,-0.0015738232297793267,-0.0006878011910186828,3193.400634765625,1.1610272663940877,0.0027156518179563957,34.769196144110246,34.412262240291426,-0.34649914601974213
z100,0.01103079209834228,0.011044064220200238,0.014191683523493528,0.014197913927027734,-0.0010749837680764142,-0.00022865612818308002,2338.501220703125,1.195046172089629,0.0031774203069917448,25.795520787295807,25.82655766046196,-0.34649914601974213
z150,0.011459254976885077,0.011417008881458288,0.014873878748581777,0.014806203498751168,-0.0012572998386126588,-0.0002402908658956761,2057.2666015625,1.1843949890136718,0.0030207003109038824,23.574742542734526,23.48783106156657,-0.34649914601974213
z200,0.01185942319723276,0.011752981420547244,0.015538271359904932,0.015409865427498365,-0.0013448835459966507,-0.0004471182748584375,1884.8441162109375,1.2690330902211395,0.003005916369266999,22.353164034959672,22.15253787845494,-0.34649914601974213
z250,0.012687620167621616,0.012637475375290756,0.016901588854479472,0.016880722763207165,-0.001338017062441547,0.000202846325998182,1758.542724609375,1.3514115240635016,0.0034319232642577827,22.311722138378173,22.223540378647687,-0.34649914601974213
z300,0.01338925897274553,0.013350686893067227,0.01803652202774928,0.01806314774167272,-0.0012570577037437694,0.00046358793829505185,1629.1297607421875,1.3989603941082518,0.0037119638046502193,21.81284026678411,21.75000134384647,-0.34649914601974213
z400,0.014259789962326068,0.014254808315281758,0.019221709212153677,0.019304874822833964,-0.0012999677817622638,-0.00024019305955309315,1340.35693359375,1.4986563751257964,0.003798740110991202,19.113208347594306,19.106531162437747,-0.34649914601974213
z500,0.015523738791217734,0.015499693669096745,0.02062731901876142,0.020686735975887754,-0.001303012932176555,-0.0012779010416796575,1088.828125,1.6152788397447821,0.003990177167932047,16.90268340103137,16.87650239579698,-0.34649914601974213
z600,0.017702010356171808,0.017778043875036367,0.02340314679065952,0.023608855264431353,-0.0012992175756720542,-0.0032593688017646615,892.7944946289062,1.7138359720046121,0.004964375021402362,15.804257389854074,15.872139696903615,-0.34649914601974213
z700,0.020720711796566097,0.02054000942989438,0.027290294088864443,0.027133945341976492,-0.001187406952432624,-0.0016035060484476287,745.7636108398438,1.767352562090416,0.006213557465463622,15.452752848578879,15.317991599122472,-0.34649914601974213
z850,0.024112498844645107,0.024065598370245817,0.03170732773503619,0.031650646982843776,-0.001041409814314091,-0.0017466882329948146,621.9691772460938,1.6577491754664606,0.0070399776395860605,14.997231067751303,14.968060418276725,-0.34649914601974213
z925,0.02502041305523361,0.02474893889584384,0.033159942630000466,0.032809462640441635,-0.0008425256169045182,-0.0011157579246967558,612.0159301757812,1.4383356066879627,0.006136711799472534,15.31289136938106,15.14674485920344,-0.34649914601974213
z1000,0.02708010384742448,0.026597345349843978,0.03638614654438618,0.03575290315760557,-0.0008773495078596295,-0.000576432374998545,631.9691162109375,1.1802290681459382,0.007311031830034268,17.113789295357257,16.808700834297987,-0.34649914601974213
t50,0.053998787545750285,0.053893592051970654,0.07077043727080565,0.0706484334418166,-0.002633329054411223,-0.001887421938471305,7.119581699371338,0.6459723337287577,0.003261911214052976,0.3844487795989647,0.3836998316865949,-0.34649914601974213
t100,0.05369055679284027,0.05369257682409042,0.0706112787133092,0.07063787148810913,-0.00035490033518118154,-0.0025516097028358805,6.191113471984863,1.0498409188332285,0.004232220029656267,0.33240432947852183,0.33241683572120845,-0.34649914601974213
t150,0.06230777137299888,0.062387191413814186,0.08344619729546772,0.08355387322185906,0.001744475997188407,0.004136074540251923,5.433646202087402,0.8976147619301,0.006091661115560194,0.3385583852814255,0.33898992568457126,-0.34649914601974213
t200,0.0636572948334709,0.06370705348376972,0.08636522667478065,0.08645278506795688,-0.000756191872606129,-0.0029168208667574055,5.482010364532471,0.8684639841529185,0.00657596223956936,0.34896995005518683,0.34924272749185004,-0.34649914601974213
t250,0.05794348363911276,0.05809836110498151,0.0819528143707324,0.08221651535614566,-0.0015043866244555248,-0.003963838657034477,4.732972621917725,0.9460772735819275,0.005403046979135646,0.2742449216824583,0.2749779524881671,-0.34649914601974213
t300,0.05391364075470902,0.05397658100058308,0.07582489617375326,0.0759737622426104,-0.0010174698955737627,0.0012606051728875354,4.170055866241455,1.1743984083611159,0.0051554034524784855,0.22482289389960874,0.22508535824113854,-0.34649914601974213
t400,0.04587164126618587,0.04596076781350906,0.06287880896607159,0.0630815986061771,-0.0018691427969988958,0.0031969622103440527,4.659672260284424,1.1515943605006105,0.007133281792767609,0.21374681434176457,0.21416211484198136,-0.34649914601974213
t500,0.045184500313503836,0.04522064148433625,0.061699053494990184,0.06179350698186423,-0.0011914569187240723,0.0026786366115541392,4.8080973625183105,1.149232939183348,0.006909806757473975,0.21725147678406556,0.21742524705222321,-0.34649914601974213
